,Status,Gender,Education,Income,Card Type,Months_Inactive_12_mon,Total_Revolving_Bal,Avg_Utilization_Ratio,MaritalDependentRatio,CreditUsage,AvgTransValue,TenureByAge
0,1,0,1,3,0,1,777,0.061,0.25,0.94,27.24,0.87
4,1,0,0,3,0,1,0,0.0,0.25,1.0,29.14,0.52
8,1,0,0,3,0,2,2517,0.113,0.12,0.89,56.25,0.97
12,1,0,2,2,0,6,0,0.0,0.25,1.0,90.53,0.64
16,1,0,3,2,0,2,2362,0.078,0.1,0.92,61.89,0.75
18,1,0,1,1,0,2,2517,0.788,0.5,0.21,44.53,0.92
20,1,0,4,3,0,2,1800,0.086,0.25,0.91,43.63,0.89
22,1,0,1,1,0,2,680,0.152,0.25,0.85,51.72,0.8
29,1,0,1,1,0,0,1362,0.285,0.2,0.72,27.5,0.89
31,1,0,0,3,0,5,1690,0.69,0.33,0.31,61.38,0.91
33,1,1,2,0,0,2,1490,0.562,0.33,0.44,50.39,0.72
35,1,1,2,0,0,2,1914,0.544,0.25,0.46,32.72,0.65
37,1,1,1,0,3,3,0,0.0,0.2,1.0,43.91,0.86
42,1,1,2,1,1,2,2517,0.145,0.25,0.85,53.21,0.86
43,1,0,1,3,0,2,0,0.0,0.25,1.0,54.88,0.76
45,1,0,0,2,0,2,0,0.0,0.1,1.0,51.57,0.61
46,1,0,4,3,0,2,1430,0.626,0.33,0.37,64.48,0.8
47,1,0,4,1,0,2,2020,0.793,0.5,0.21,63.67,0.88
48,1,0,1,2,0,3,1435,0.074,0.25,0.93,45.07,0.87
49,1,0,2,2,0,1,1227,0.259,0.25,0.74,28.5,0.77
52,1,1,1,0,0,4,2179,0.687,1.0,0.31,51.21,0.82
57,1,0,0,1,0,2,1880,0.422,0.33,0.58,49.1,0.89
59,1,0,1,3,0,4,1753,0.525,0.17,0.47,43.26,0.81
62,1,0,1,3,0,3,1251,0.211,0.25,0.79,47.0,0.85
63,1,0,3,4,0,4,2102,0.088,0.1,0.91,49.08,0.73
64,1,0,1,4,0,2,1634,0.111,0.17,0.89,56.04,0.83
65,1,0,0,2,1,1,1515,0.044,0.1,0.96,40.41,0.75
66,1,0,2,3,0,3,1817,0.276,0.33,0.72,38.66,0.91
67,1,1,0,0,0,3,1468,0.704,0.17,0.3,40.43,0.45
69,1,0,4,2,0,2,1330,0.053,0.33,0.95,55.8,0.76
73,1,0,0,2,0,2,1528,0.067,0.17,0.93,39.83,0.88
74,1,0,2,3,0,3,1932,0.079,0.25,0.92,55.88,0.8
77,1,1,0,0,0,4,1801,0.256,0.12,0.74,41.04,0.78
86,1,0,1,4,0,2,2056,0.108,0.17,0.89,39.1,0.66
87,1,1,0,0,0,2,0,0.0,0.12,1.0,38.66,0.81
88,1,0,1,3,0,3,837,0.066,0.12,0.93,100.93,0.7
90,1,1,1,0,0,2,0,0.0,0.17,1.0,60.76,0.71
91,1,0,1,2,0,3,1953,0.062,0.1,0.94,44.69,0.78
97,1,0,4,1,0,3,1706,0.45,0.25,0.55,38.31,0.66
98,1,0,2,4,0,2,2250,0.232,0.25,0.77,60.95,0.89
105,1,1,3,0,0,3,926,0.111,0.2,0.89,42.32,0.77
106,1,0,3,4,0,1,931,0.027,0.17,0.97,48.67,0.68
107,1,0,0,3,0,2,2440,0.169,0.5,0.83,41.17,0.82
112,1,0,1,3,0,1,1674,0.513,0.1,0.49,35.74,0.86
113,1,1,0,0,0,2,706,0.473,1.0,0.53,54.38,0.67
117,1,0,1,2,0,1,1559,0.156,0.12,0.84,65.04,0.78
118,1,0,4,3,0,6,1196,0.05,0.5,0.95,46.29,0.73
119,1,1,1,0,0,2,1901,0.355,0.33,0.65,40.87,0.83
121,1,1,4,0,0,1,1951,0.615,0.5,0.39,42.86,0.65
122,1,0,1,2,0,2,1836,0.15,0.5,0.85,43.66,0.89
123,1,1,1,1,0,3,1540,0.407,0.12,0.59,33.91,0.87
124,1,0,2,4,1,3,1527,0.044,0.17,0.96,30.19,0.76
128,1,0,1,1,0,1,1300,0.096,0.17,0.9,52.45,0.87
134,1,0,4,0,0,1,797,0.246,0.17,0.75,46.66,0.79
136,1,0,1,3,0,3,2100,0.271,0.17,0.73,38.12,0.68
137,1,0,2,3,0,1,1186,0.114,0.1,0.89,60.95,0.89
139,1,1,3,0,0,2,2517,0.406,0.17,0.59,63.37,0.69
140,-1,1,1,0,0,3,0,0.0,0.17,1.0,37.39,0.79
144,-1,0,2,3,0,3,0,0.0,0.25,1.0,53.0,0.9
145,-1,1,0,0,0,2,0,0.0,0.2,1.0,46.19,0.79
149,1,0,1,2,0,1,1104,0.118,0.33,0.88,33.41,0.59
150,1,0,1,2,0,1,0,0.0,0.12,1.0,61.41,0.7
153,1,0,0,3,0,2,1540,0.64,0.1,0.36,37.48,0.87
154,1,1,2,0,0,2,930,0.432,0.5,0.57,55.35,0.89
156,1,1,1,1,0,1,0,0.0,0.1,1.0,59.17,0.79
157,1,0,4,4,0,1,618,0.066,0.5,0.93,40.7,0.78
160,1,0,1,2,0,2,1024,0.359,1.0,0.64,58.96,0.77
162,1,0,0,3,0,2,2071,0.101,0.5,0.9,46.5,0.78
164,1,1,0,1,0,2,1570,0.512,0.2,0.49,40.36,0.8
165,1,1,0,0,0,1,1761,0.806,0.25,0.19,54.83,0.84
166,1,1,0,0,0,1,746,0.463,0.25,0.54,48.72,0.77
167,1,1,0,0,0,3,2173,0.77,0.2,0.23,52.96,0.81
169,1,0,1,3,0,2,0,0.0,0.25,1.0,41.21,0.89
171,1,1,1,0,0,3,893,0.133,0.5,0.87,49.57,0.87
173,1,0,1,2,1,1,1260,0.037,0.33,0.96,44.24,0.9
174,1,1,1,1,0,1,1434,0.146,0.25,0.85,44.21,0.88
176,1,0,0,2,0,1,1836,0.069,0.25,0.93,51.02,0.79
178,1,1,0,1,1,3,1072,0.055,0.17,0.94,64.59,0.63
179,1,1,0,1,0,2,985,0.294,0.5,0.71,35.68,0.61
180,1,0,0,1,0,2,2248,0.39,0.33,0.61,77.06,0.76
182,1,1,0,0,0,3,2001,0.692,0.5,0.31,51.67,0.92
186,1,0,3,2,0,1,462,0.074,0.12,0.93,32.94,0.67
187,1,1,2,0,0,1,738,0.513,0.5,0.49,37.15,0.92
188,1,1,1,0,0,1,1626,0.174,0.33,0.83,43.93,0.72
193,1,0,4,4,0,3,1676,0.078,0.25,0.92,36.02,0.76
194,1,1,3,0,0,1,1598,0.463,0.17,0.54,39.98,0.86
195,1,1,1,0,0,1,799,0.133,0.25,0.87,45.55,0.72
197,1,0,0,2,0,3,1423,0.087,0.25,0.91,34.79,0.81
198,-1,0,1,0,0,3,900,0.626,1.0,0.37,36.19,0.76
199,1,0,2,3,0,1,1687,0.214,0.5,0.79,64.91,0.61
202,1,0,2,2,0,5,1632,0.133,0.25,0.87,36.17,0.85
205,1,1,1,0,1,2,1580,0.15,0.25,0.85,45.52,0.81
207,-1,0,3,3,0,3,0,0.0,0.33,1.0,35.17,0.78
209,1,0,2,4,0,3,2395,0.098,0.33,0.9,48.15,0.91
210,1,1,1,0,0,1,1649,0.694,0.33,0.31,53.0,0.68
213,1,0,1,3,0,2,2517,0.22,0.12,0.78,37.14,0.75
214,1,0,1,1,0,3,1721,0.13,0.2,0.87,51.43,0.84
215,1,0,2,0,0,2,1955,0.76,0.17,0.24,51.42,0.75
218,1,0,1,2,0,1,1202,0.035,0.25,0.97,41.0,0.85
219,1,1,0,0,1,1,1835,0.165,0.12,0.84,61.84,0.86
221,1,1,0,0,0,1,1272,0.665,0.5,0.34,65.82,0.6
225,1,0,1,2,0,3,1789,0.064,0.17,0.94,41.42,0.68
226,1,0,2,3,0,1,0,0.0,0.12,1.0,56.46,0.71
227,1,1,0,0,1,4,2222,0.16,0.17,0.84,43.63,0.72
230,-1,1,0,1,0,4,1025,0.713,0.5,0.29,58.5,0.83
233,1,0,3,2,0,2,1644,0.092,0.12,0.91,35.34,0.82
234,1,0,2,3,0,3,1819,0.666,0.25,0.33,37.32,0.86
235,1,0,2,3,0,3,1301,0.147,0.33,0.85,56.0,0.87
236,-1,0,0,2,0,3,1833,0.987,0.5,0.01,48.76,0.69
238,1,0,0,1,0,3,1222,0.11,0.33,0.89,45.64,0.73
241,1,0,1,2,0,2,1475,0.28,0.17,0.72,83.76,0.92
242,-1,0,2,1,0,2,0,0.0,0.17,1.0,38.81,0.92
243,-1,1,2,0,0,3,0,0.0,0.33,1.0,21.25,0.8
245,1,0,0,2,0,2,1650,0.355,0.12,0.64,36.15,0.88
247,-1,0,1,4,0,3,0,0.0,0.2,1.0,36.89,0.65
249,1,0,4,3,0,1,2480,0.327,0.17,0.67,40.26,0.82
250,1,0,3,4,0,1,1486,0.459,0.12,0.54,48.36,0.62
251,1,0,1,1,0,3,1125,0.252,1.0,0.75,51.91,0.49
253,-1,0,1,1,0,4,1054,0.291,0.5,0.71,40.41,0.81
254,1,0,1,0,0,2,1495,0.46,1.0,0.54,81.8,0.8
255,1,1,1,0,0,3,1152,0.489,0.33,0.51,66.81,0.65
257,1,0,0,4,0,2,1510,0.482,0.25,0.52,37.76,0.87
258,1,1,0,1,0,3,849,0.24,0.17,0.76,47.18,0.78
261,-1,1,3,1,0,4,0,0.0,1.0,1.0,29.96,0.68
264,1,0,0,1,0,1,795,0.152,0.33,0.85,54.7,0.78
268,-1,1,1,1,0,3,0,0.0,1.0,1.0,53.33,0.83
271,1,0,0,3,0,3,0,0.0,0.17,1.0,44.58,0.72
272,1,0,0,1,0,2,0,0.0,1.0,1.0,38.5,0.79
274,1,0,1,2,0,3,1576,0.196,0.12,0.8,34.19,0.88
275,1,1,0,0,0,2,1769,0.734,0.2,0.27,40.57,0.74
277,1,1,0,0,0,2,1007,0.446,0.2,0.55,48.91,0.55
278,1,0,0,2,0,2,2481,0.14,0.1,0.86,56.35,0.64
279,1,1,1,1,0,1,1100,0.262,0.2,0.74,52.0,0.88
282,1,1,0,1,0,2,1711,0.308,0.5,0.69,81.24,0.81
285,1,0,0,2,0,1,1274,0.238,1.0,0.76,45.76,0.79
286,-1,0,1,4,0,3,0,0.0,0.33,1.0,40.0,0.75
292,1,0,4,3,0,4,1682,0.102,0.33,0.9,43.86,0.65
